Phenotype,Ancestry,Collapsing model,Phenotypic category,P value,No. samples,No. cases,No. cases with QV,Proportion cases with QV,No. controls,No. controls with QV,Proportion controls with QV,Odds ratio,Odds ratio LCI,Odds ratio UCI
130063#Source of report of A37 (Whooping cough),European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0825,406947,2897,0,0,404050,433,0.00107164954832323,0,,
130137#Source of report of A81 (Atypical virus infections of central nervous system),European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0741,459449,74,1,0.0135135135135135,459375,477,0.00103836734693878,13.1788,1.8279,95.0144
130149#Source of report of A87 (Viral meningitis),European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0899,459449,480,2,0.00416666666666667,458969,476,0.00103710708130614,4.0302,1.0021,16.2087
130217#Source of report of B26 (Mumps),European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0707,439717,9292,4,0.000430477830391735,430425,449,0.00104315502119998,0.4124,0.1541,1.1039
130311#Source of report of B80 (Enterobiasis),European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0376,379351,717,3,0.00418410041841004,378634,383,0.0010115309243227,4.1496,1.3292,12.954
130315#Source of report of B82 (Unspecified intestinal parasitism),European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0856,459449,86,1,0.0116279069767442,459363,477,0.0010383944723454,11.3179,1.5728,81.4451
130341#Source of report of B97 (Viral agents as the cause of diseases classified to other chapters),European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0878,404819,4207,8,0.00190159258378892,400612,413,0.00103092268828692,1.8462,0.9165,3.7188
20002#1657#septicaemia | sepsis,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0359,384830,279,2,0.00716845878136201,384551,406,0.00105577673702578,6.8316,1.6942,27.5465
23054#CMV seropositivity for Human Cytomegalovirus,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0533,8567,4940,11,0.00222672064777328,3627,2,0.000551419906258616,4.0449,0.896,18.2605
40002#A498#Other bacterial infections of unspecified site,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.054,338242,55,1,0.0181818181818182,338187,340,0.00100536093936195,18.4013,2.5383,133.3984
