Phenotype,Ancestry,Collapsing model,Phenotypic category,P value,No. samples,No. cases,No. cases with QV,Proportion cases with QV,No. controls,No. controls with QV,Proportion controls with QV,Odds ratio,Odds ratio LCI,Odds ratio UCI
130071#Source of report of A41 (Other sepsis),European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0822,368250,16378,133,0.00812064965197216,351872,3340,0.00949208803201164,0.8543,0.7179,1.0167
130177#Source of report of B01 (Varicella [chickenpox]),European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0252,459449,19599,154,0.00785754375223226,439850,4143,0.00941912015459816,0.8329,0.7087,0.9789
130185#Source of report of B05 (Measles),European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0746,443096,14082,111,0.00788240306774606,429014,4023,0.00937731635797433,0.8393,0.6945,1.0143
130225#Source of report of B34 (Viral infection of unspecified site),European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0399,402293,11131,83,0.00745665259186057,391162,3661,0.00935929359191332,0.7952,0.6392,0.9893
20002#1572#whooping cough | pertussis,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0989,384886,485,8,0.0164948453608247,384401,3591,0.00934180712329052,1.7785,0.8836,3.5798
23054#CMV seropositivity for Human Cytomegalovirus,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.097,8567,4940,56,0.011336032388664,3627,28,0.00771987868762062,1.4738,0.9344,2.3246
23067#MCV seropositivity for Merkel Cell Polyomavirus,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0843,8628,5780,50,0.00865051903114187,2848,36,0.0126404494382022,0.6816,0.443,1.0486
23069#HPV 18 seropositivity for Human Papillomavirus type-18,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0055,7254,220,7,0.0318181818181818,7034,64,0.00909866363377879,3.5791,1.6209,7.9027
23073#H. pylori Definition I seropositivity for Helicobacter pylori,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0691,4056,1508,9,0.00596816976127321,2548,30,0.0117739403453689,0.5039,0.2386,1.0643
23074#H. pylori Definition II seropositivity for Helicobacter pylori,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0397,8022,2627,17,0.00647125999238675,5395,62,0.0114921223354958,0.5603,0.3269,0.9601
41202#A390#Meningococcal meningitis,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0409,431209,34,2,0.0588235294117647,431175,4066,0.00943004580506755,6.5653,1.5728,27.4045
41202#B171#Acute hepatitis C,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0953,287489,54,2,0.037037037037037,287435,2762,0.00960912902047419,3.9641,0.9651,16.2829
41202#B34#Viral infection of unspecified site,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0142,390877,2202,10,0.00454132606721163,388675,3645,0.00937801505113527,0.4819,0.2587,0.8977
41202#B349#Viral infection unspecified,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0092,391477,2131,9,0.00422336931018301,389346,3651,0.00937726341095067,0.4481,0.2326,0.863
41202#Block B25-B34#B25-B34 Other viral diseases,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0528,396863,2363,13,0.00550148116800677,394500,3708,0.00939923954372624,0.583,0.3377,1.0065
