Phenotype,Ancestry,Collapsing model,Phenotypic category,P value,No. samples,No. cases,No. cases with QV,Proportion cases with QV,No. controls,No. controls with QV,Proportion controls with QV,Odds ratio,Odds ratio LCI,Odds ratio UCI
130227#Source of report of B35 (Dermatophytosis),European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.016,386746,30176,6,0.000198833510074231,356570,21,0.0000588944667246263,3.3766,1.3627,8.3665
130325#Source of report of B88 (Other infestations),European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0127,459449,178,1,0.00561797752808989,459271,32,0.0000696756381308639,81.0803,11.0188,596.6178
41202#A08#Viral and other specified intestinal infections,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0975,404298,1479,1,0.000676132521974307,402819,27,0.0000670276228281188,10.0935,1.3706,74.3299
41202#A084#Viral intestinal infection unspecified,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0929,401228,1347,1,0.000742390497401633,399881,28,0.0000700208311972812,10.6096,1.4425,78.0357
Union#A41#Other sepsis,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0962,249835,16378,3,0.000183172548540725,233457,14,0.0000599682168450721,3.0549,0.8778,10.6314
Union#A419#Sepsis unspecified,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0949,248476,13034,3,0.000230167254871874,235442,18,0.0000764519499494568,3.0111,0.8868,10.2236
Union#B35#Dermatophytosis,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.041,275359,30176,6,0.000198833510074231,245183,18,0.0000734145515798404,2.7087,1.0751,6.8244
Union#B88#Other infestations,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0132,294770,178,1,0.00561797752808989,294592,21,0.0000712850315011949,79.2497,10.6023,592.3706
Union#Block B85-B89#B85-B89 Pediculosis acariasis and other infestations,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0072,294689,97,1,0.0103092783505155,294592,21,0.0000712850315011949,146.1166,19.4594,1097.1606
40001#C85#Other and unspecified types of non-Hodgkin lymphoma,European,flexdmg,Chapter II Neoplasms,0.0299,275567,364,1,0.00274725274725275,275203,22,0.0000799409890153814,34.4579,4.6323,256.3213
40001#C851#B-cell lymphoma unspecified,European,flexdmg,Chapter II Neoplasms,0.0093,276996,112,1,0.00892857142857143,276884,22,0.0000794556565204201,113.3751,15.1505,848.4167
40006#C184#Malignant neoplasm: Transverse colon,European,flexdmg,Chapter II Neoplasms,0.0371,342159,479,1,0.00208768267223382,341680,26,0.0000760945914305783,27.4907,3.7229,202.9982
40006#C82#Follicular lymphoma,European,flexdmg,Chapter II Neoplasms,0.0592,342453,773,1,0.00129366106080207,341680,26,0.0000760945914305783,17.0214,2.3069,125.5944
40006#C822#Follicular lymphoma grade III unspecified,European,flexdmg,Chapter II Neoplasms,0.0073,341773,93,1,0.010752688172043,341680,26,0.0000760945914305783,142.8319,19.1807,1063.6206
40006#C833#Diffuse large B-cell lymphoma,European,flexdmg,Chapter II Neoplasms,0.0889,283808,1147,1,0.000871839581517001,282661,22,0.0000778317489855339,11.2105,1.5098,83.241
