Phenotype,Ancestry,Collapsing model,Phenotypic category,P value,No. samples,No. cases,No. cases with QV,Proportion cases with QV,No. controls,No. controls with QV,Proportion controls with QV,Odds ratio,Odds ratio LCI,Odds ratio UCI
130003#Source of report of A01 (Typhoid and paratyphoid fevers),European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0905,337022,109,3,0.0275229357798165,336913,3270,0.00970576973877529,2.8877,0.9162,9.1019
130015#Source of report of A07 (Other protozoal intestinal diseases),European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0341,417180,502,10,0.0199203187250996,416678,4036,0.00968613653708619,2.0781,1.1103,3.8895
130017#Source of report of A08 (Viral and other specified intestinal infections),European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0545,445498,5188,37,0.00713184271395528,440310,4292,0.00974767777247848,0.7297,0.5274,1.0097
130137#Source of report of A81 (Atypical virus infections of central nervous system),European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0357,459449,74,3,0.0405405405405405,459375,4460,0.00970884353741497,4.3098,1.357,13.6882
130177#Source of report of B01 (Varicella [chickenpox]),European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0406,459449,19599,163,0.00831675085463544,439850,4300,0.00977606002046152,0.8495,0.726,0.9939
130185#Source of report of B05 (Measles),European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.029,443096,14082,112,0.00795341570799602,429014,4193,0.00977357382276569,0.8123,0.6728,0.9807
130187#Source of report of B06 (Rubella [German measles]),European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0632,391444,5168,37,0.00715944272445821,386276,3776,0.00977539375990225,0.7305,0.5278,1.011
130205#Source of report of B20 (Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases),European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0753,210252,47,2,0.0425531914893617,210205,2021,0.00961442401465236,4.5782,1.1099,18.8853
130273#Source of report of B58 (Toxoplasmosis),European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.091,459449,52,2,0.0384615384615385,459397,4461,0.00971055535843726,4.0792,0.9923,16.77
130325#Source of report of B88 (Other infestations),European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0083,459449,178,6,0.0337078651685393,459271,4457,0.00970450997341439,3.5597,1.5764,8.0383
