Phenotype,Ancestry,Collapsing model,Phenotypic category,P value,No. samples,No. cases,No. cases with QV,Proportion cases with QV,No. controls,No. controls with QV,Proportion controls with QV,Odds ratio,Odds ratio LCI,Odds ratio UCI
130019#Source of report of A09 (Other gastroenteritis and colitis of infectious and unspecified origin),European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0565,440908,24390,113,0.0046330463304633,416518,1600,0.00384137060103045,1.2071,0.997,1.4614
130063#Source of report of A37 (Whooping cough),European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0974,406947,2897,17,0.00586813945460822,404050,1571,0.0038881326568494,1.5122,0.9364,2.4423
130177#Source of report of B01 (Varicella [chickenpox]),European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0395,459449,19599,94,0.00479616306954436,439850,1688,0.00383767193361373,1.251,1.0158,1.5405
130213#Source of report of B24 (Unspecified human immunodeficiency virus [HIV] disease),European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0163,220071,381,5,0.0131233595800525,219690,836,0.00380536210114252,3.4812,1.4368,8.4346
130231#Source of report of B37 (Candidiasis),European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0458,390261,12289,34,0.00276670192855399,377972,1473,0.00389711407194184,0.7091,0.5045,0.9968
20002#1439#hiv|aids,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0109,212278,347,5,0.0144092219020173,211931,799,0.00377009498374471,3.8632,1.5934,9.3667
23055#HHV-6 overall seropositivity for Human Herpesvirus-6,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.045,8779,7958,36,0.00452374968585072,821,0,0,,,
23056#HHV-6A seropositivity for Human Herpesvirus-6,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0335,8541,6771,33,0.0048737261852016,1770,2,0.00112994350282486,4.3295,1.0379,18.0603
23065#BKV seropositivity for Human Polyomavirus BKV,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0555,8708,8357,32,0.00382912528419289,351,4,0.0113960113960114,0.3335,0.1173,0.9481
23075#HPV 16 Definition II seropositivity for Human Papillomavirus type-16,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0781,7751,409,4,0.0097799511002445,7342,27,0.00367747207845274,2.6758,0.9318,7.6837
40001#Block A00-A09#A00-A09 Intestinal infectious diseases,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0216,457540,58,2,0.0344827586206897,457482,1774,0.00387774819555742,9.1743,2.2371,37.624
40001#Chapter I#Chapter I Certain infectious and parasitic diseases,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0446,376873,344,4,0.0116279069767442,376529,1441,0.0038270624573406,3.0623,1.1412,8.2176
41202#A02#Other salmonella infections,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0783,431293,118,2,0.0169491525423729,431175,1683,0.00390328752826579,4.3999,1.0865,17.8183
41202#A020#Salmonella enteritis,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0547,431271,96,2,0.0208333333333333,431175,1683,0.00390328752826579,5.4297,1.337,22.0495
41202#A09#Other gastroenteritis and colitis of infectious and unspecified origin,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0856,392570,9781,49,0.00500971270831203,382789,1494,0.00390293346987505,1.285,0.9661,1.7092
41202#A099#Gastroenteritis and colitis of unspecified origin,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.088,389252,9005,46,0.0051082731815658,380247,1491,0.00392113547246921,1.3043,0.9719,1.7504
41202#B02#Zoster [herpes zoster],European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0601,431708,533,5,0.00938086303939963,431175,1683,0.00390328752826579,2.4166,1.0004,5.8378
41202#B022#Zoster with other nervous system involvement,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0727,431288,113,2,0.0176991150442478,431175,1683,0.00390328752826579,4.5981,1.1348,18.6309
41202#B37#Candidiasis,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0577,432104,929,0,0,431175,1683,0.00390328752826579,0,,
Union#A020#Salmonella enteritis,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0809,294710,118,2,0.0169491525423729,294592,1172,0.00397838366282859,4.3165,1.0655,17.4869
Union#B01#Varicella [chickenpox],European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0572,314655,20063,98,0.00488461346757713,294592,1172,0.00397838366282859,1.2289,0.9995,1.5109
Union#B24#Unspecified human immunodeficiency virus [HIV] disease,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0201,141630,391,5,0.0127877237851662,141239,553,0.00391534915993458,3.2954,1.3585,7.9938
Union#B37#Candidiasis,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0323,264897,12289,34,0.00276670192855399,252608,1011,0.00400224854319737,0.6904,0.4903,0.9722
Union#B378#Candidiasis of other sites,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.011,278108,2264,2,0.00088339222614841,275844,1096,0.00397326024854628,0.2216,0.0553,0.8879
