Phenotype,Ancestry,Collapsing model,Phenotypic category,P value,No. samples,No. cases,No. cases with QV,Proportion cases with QV,No. controls,No. controls with QV,Proportion controls with QV,Odds ratio,Odds ratio LCI,Odds ratio UCI
130017#Source of report of A08 (Viral and other specified intestinal infections),European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0435,445498,5188,45,0.00867386276021588,440310,2804,0.00636824055778883,1.3652,1.0156,1.8351
130023#Source of report of A16 (Respiratory tuberculosis not confirmed bacteriologically or histologically),European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0932,378732,544,7,0.0128676470588235,378188,2413,0.00638042455075254,2.03,0.9621,4.2833
130179#Source of report of B02 (Zoster [herpes zoster]),European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0743,426346,17581,132,0.00750810534099312,408765,2609,0.0063826403924015,1.1777,0.9881,1.4036
130201#Source of report of B18 (Chronic viral hepatitis),European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0415,318036,658,9,0.013677811550152,317378,2006,0.00632053891574085,2.1802,1.1276,4.2153
20002#1571#chickenpox,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0067,448289,1769,3,0.00169587337478802,446520,2876,0.0064409208993998,0.262,0.0844,0.8138
20002#1674#varicella zoster virus,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.075,448626,2106,7,0.00332383665716999,446520,2876,0.0064409208993998,0.5144,0.2447,1.0814
23060#HBV seropositivity for Hepatitis B Virus,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.042,6563,146,3,0.0205479452054795,6417,32,0.00498675393486053,4.186,1.2671,13.8287
23068#HPV 16 Definition I seropositivity for Human Papillomavirus type-16,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0555,6839,387,5,0.0129198966408269,6452,32,0.00495970241785493,2.626,1.0174,6.7776
23075#HPV 16 Definition II seropositivity for Human Papillomavirus type-16,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0525,7751,409,5,0.0122249388753056,7342,34,0.004630890765459,2.6602,1.0349,6.838
40002#A415#Sepsis due to other Gram-negative organisms,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0799,303417,74,2,0.027027027027027,303343,1914,0.006309689031888,4.3746,1.0726,17.8425
40002#Chapter I#Chapter I Certain infectious and parasitic diseases,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0859,341449,1674,16,0.00955794504181601,339775,2112,0.00621587815466117,1.5429,0.9412,2.5291
41202#A418#Other specified sepsis,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0821,330658,255,4,0.0156862745098039,330403,2108,0.00638008734787517,2.4819,0.9234,6.6707
41202#B348#Other viral infections of unspecified site,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0328,431219,44,2,0.0454545454545455,431175,2777,0.00644054038383487,7.346,1.7774,30.3621
41202#B379#Candidiasis unspecified,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0697,431242,67,2,0.0298507462686567,431175,2777,0.00644054038383487,4.7467,1.1617,19.3952
41202#Block B25-B34#B25-B34 Other viral diseases,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0948,396863,2363,22,0.00931019889970377,394500,2568,0.00650950570342205,1.4343,0.9409,2.1865
41202#U072#COVID-19 virus not identified,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0701,352278,244,4,0.0163934426229508,352034,2219,0.0063033684246408,2.6274,0.9773,7.064
Union#A08#Viral and other specified intestinal infections,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0548,299780,5188,45,0.00867386276021588,294592,1905,0.00646657071475125,1.3443,0.999,1.809
Union#A081#Acute gastroenteropathy due to Norwalk agent,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.009,249389,271,6,0.022140221402214,249118,1609,0.0064587865991217,3.4829,1.5484,7.8344
Union#A16#Respiratory tuberculosis not confirmed bacteriologically or histologically,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0955,240646,544,7,0.0128676470588235,240102,1553,0.00646808439746441,2.0023,0.9484,4.2274
Union#A49#Bacterial infection of unspecified site,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0873,248457,3038,12,0.00394996708360764,245419,1608,0.00655205994645891,0.6013,0.3404,1.0622
Union#A498#Other bacterial infections of unspecified site,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0762,225393,1067,2,0.00187441424554827,224326,1407,0.00627212182270446,0.2975,0.0742,1.1924
Union#B001#Herpesviral vesicular dermatitis,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0453,294797,205,4,0.0195121951219512,294592,1905,0.00646657071475125,3.0575,1.1353,8.2346
Union#B019#Varicella without complication,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0794,302778,8186,40,0.00488639139995114,294592,1905,0.00646657071475125,0.7544,0.5512,1.0327
Union#B16#Acute hepatitis B,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0369,218167,472,7,0.0148305084745763,217695,1416,0.00650451319506649,2.2993,1.0881,4.8588
Union#B18#Chronic viral hepatitis,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0252,202281,658,9,0.013677811550152,201623,1264,0.00626912604216781,2.1982,1.1359,4.2537
Union#B182#Chronic viral hepatitis C,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0157,197193,406,7,0.0172413793103448,196787,1239,0.00629614761137677,2.7689,1.3088,5.858
Union#B259#Cytomegaloviral disease unspecified,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0621,288269,5124,22,0.00429352068696331,283145,1811,0.0063960161754578,0.6699,0.4396,1.0208
Union#B348#Other viral infections of unspecified site,European,flexdmg,Chapter I Certain infectious and parasitic diseases,0.0208,294832,240,5,0.0208333333333333,294592,1905,0.00646657071475125,3.269,1.3465,7.9362
